textbox22
generated on 21/02/2018 09:06:26 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Albania,European Region of WHO,South West Europe,1997,1,1996-12-30,1997-01-05,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1997,3,1997-01-13,1997-01-19,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1997,16,1997-04-14,1997-04-20,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,5,1998-01-26,1998-02-01,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,6,1998-02-02,1998-02-08,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,7,1998-02-09,1998-02-15,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,8,1998-02-16,1998-02-22,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,9,1998-02-23,1998-03-01,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,10,1998-03-02,1998-03-08,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,11,1998-03-09,1998-03-15,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,12,1998-03-16,1998-03-22,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,13,1998-03-23,1998-03-29,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,14,1998-03-30,1998-04-05,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,15,1998-04-06,1998-04-12,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,16,1998-04-13,1998-04-19,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,17,1998-04-20,1998-04-26,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,21,1998-05-18,1998-05-24,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,22,1998-05-25,1998-05-31,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1998,40,1998-09-28,1998-10-04,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1999,20,1999-05-17,1999-05-23,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,1999,38,1999-09-20,1999-09-26,,,,,,,,0,,,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,1999,39,1999-09-27,1999-10-03,,,,,,,,0,,,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,1999,40,1999-10-04,1999-10-10,,,,,,,,0,,,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,1999,41,1999-10-11,1999-10-17,,,,,,,,0,,,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,1999,42,1999-10-18,1999-10-24,,,,,,,,0,,,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,1999,43,1999-10-25,1999-10-31,,,,,,,,0,,,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,1999,44,1999-11-01,1999-11-07,,,,,,,,0,,,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,1999,45,1999-11-08,1999-11-14,,,,,,,,0,,,0,0,0,,Sporadic
Albania,European Region of WHO,South West Europe,1999,46,1999-11-15,1999-11-21,,,,,,,,0,,,0,0,0,,Sporadic
Albania,European Region of WHO,South West Europe,1999,47,1999-11-22,1999-11-28,,,,,,,,0,,,0,0,0,,Sporadic
Albania,European Region of WHO,South West Europe,1999,50,1999-12-13,1999-12-19,,,,,,,,0,,,0,0,0,,Local Outbreak
Albania,European Region of WHO,South West Europe,1999,51,1999-12-20,1999-12-26,,,,,,,,0,,,0,0,0,,Local Outbreak
Albania,European Region of WHO,South West Europe,1999,52,1999-12-27,2000-01-02,,,,,,,,0,,,0,0,0,,Regional Outbreak
Albania,European Region of WHO,South West Europe,2000,1,2000-01-03,2000-01-09,,,,,,,,0,,,0,0,0,,Regional Outbreak
Albania,European Region of WHO,South West Europe,2000,26,2000-06-26,2000-07-02,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,2001,4,2001-01-22,2001-01-28,,,,,,,,0,,,0,0,0,,Sporadic
Albania,European Region of WHO,South West Europe,2001,8,2001-02-19,2001-02-25,,,2,,,,,2,,,0,0,2,,Sporadic
Albania,European Region of WHO,South West Europe,2002,11,2002-03-11,2002-03-17,,,,,,,,0,,,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2002,22,2002-05-27,2002-06-02,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,2002,43,2002-10-21,2002-10-27,,,,,,,,0,,,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2002,44,2002-10-28,2002-11-03,,,,,,,,0,,,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2002,45,2002-11-04,2002-11-10,,,,,,,,0,,,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2002,46,2002-11-11,2002-11-17,,,,,,,,0,,,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2002,47,2002-11-18,2002-11-24,,,,,,,,0,,,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2003,4,2003-01-20,2003-01-26,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,2003,5,2003-01-27,2003-02-02,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,2003,6,2003-02-03,2003-02-09,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,2003,7,2003-02-10,2003-02-16,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,2003,8,2003-02-17,2003-02-23,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,2003,9,2003-02-24,2003-03-02,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,2003,10,2003-03-03,2003-03-09,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,2003,11,2003-03-10,2003-03-16,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,2003,12,2003-03-17,2003-03-23,,,,,,,2,2,,,0,0,2,,Regional Outbreak
Albania,European Region of WHO,South West Europe,2003,16,2003-04-14,2003-04-20,,,,,,,,0,,,0,0,0,,No Report
Albania,European Region of WHO,South West Europe,2010,46,2010-11-15,2010-11-21,,8,0,0,0,,0,0,,,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2010,47,2010-11-22,2010-11-28,,12,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2010,48,2010-11-29,2010-12-05,,6,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2010,49,2010-12-06,2010-12-12,,7,0,0,0,,0,0,0,0,1,1,1,,No Activity
Albania,European Region of WHO,South West Europe,2010,50,2010-12-13,2010-12-19,,12,0,1,0,,0,1,0,0,0,0,1,,No Activity
Albania,European Region of WHO,South West Europe,2010,51,2010-12-20,2010-12-26,,12,0,1,0,,0,1,0,0,0,0,1,,No Activity
Albania,European Region of WHO,South West Europe,2010,52,2010-12-27,2011-01-02,,20,0,3,2,,0,5,0,0,2,2,7,,No Report
Albania,European Region of WHO,South West Europe,2011,1,2011-01-03,2011-01-09,,31,0,13,2,,0,15,0,0,1,1,16,,No Activity
Albania,European Region of WHO,South West Europe,2011,2,2011-01-10,2011-01-16,,88,0,21,3,,0,24,0,0,5,5,29,,Sporadic
Albania,European Region of WHO,South West Europe,2011,3,2011-01-17,2011-01-23,,112,0,18,5,,0,23,0,0,0,0,23,,Sporadic
Albania,European Region of WHO,South West Europe,2011,4,2011-01-24,2011-01-30,,77,0,10,1,,0,11,0,0,1,1,12,,Local Outbreak
Albania,European Region of WHO,South West Europe,2011,5,2011-01-31,2011-02-06,,93,0,21,1,,0,22,0,0,6,6,28,,Local Outbreak
Albania,European Region of WHO,South West Europe,2011,6,2011-02-07,2011-02-13,,78,0,10,2,,0,12,0,0,1,1,13,,Local Outbreak
Albania,European Region of WHO,South West Europe,2011,7,2011-02-14,2011-02-20,,37,0,1,1,,0,2,0,0,0,0,2,,Local Outbreak
Albania,European Region of WHO,South West Europe,2011,8,2011-02-21,2011-02-27,,32,0,0,0,,0,0,0,0,1,1,1,,Local Outbreak
Albania,European Region of WHO,South West Europe,2011,9,2011-02-28,2011-03-06,,28,0,2,0,,0,2,0,0,1,1,3,,Local Outbreak
Albania,European Region of WHO,South West Europe,2011,10,2011-03-07,2011-03-13,,8,0,0,0,,0,0,0,0,1,1,1,,No Report
Albania,European Region of WHO,South West Europe,2011,11,2011-03-14,2011-03-20,,9,0,0,0,,0,0,0,0,1,1,1,,Sporadic
Albania,European Region of WHO,South West Europe,2011,12,2011-03-21,2011-03-27,,5,0,0,0,,0,0,0,0,1,1,1,,Sporadic
Albania,European Region of WHO,South West Europe,2011,13,2011-03-28,2011-04-03,,6,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Albania,European Region of WHO,South West Europe,2011,14,2011-04-04,2011-04-10,,8,0,0,0,,0,0,0,0,3,3,3,,Sporadic
Albania,European Region of WHO,South West Europe,2011,15,2011-04-11,2011-04-17,,4,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Albania,European Region of WHO,South West Europe,2011,40,2011-10-03,2011-10-09,,4,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Albania,European Region of WHO,South West Europe,2011,41,2011-10-10,2011-10-16,,1,0,0,0,,0,0,0,0,0,0,0,,Sporadic
Albania,European Region of WHO,South West Europe,2011,43,2011-10-24,2011-10-30,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2011,44,2011-10-31,2011-11-06,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2011,45,2011-11-07,2011-11-13,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2011,46,2011-11-14,2011-11-20,,4,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2011,47,2011-11-21,2011-11-27,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2011,48,2011-11-28,2011-12-04,,4,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2011,49,2011-12-05,2011-12-11,,4,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2011,50,2011-12-12,2011-12-18,,4,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2011,51,2011-12-19,2011-12-25,,7,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2011,52,2011-12-26,2012-01-01,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2012,1,2012-01-02,2012-01-08,,31,0,0,2,,0,2,0,0,1,1,3,,No Activity
Albania,European Region of WHO,South West Europe,2012,2,2012-01-09,2012-01-15,,27,0,0,9,,0,9,0,0,0,0,9,,No Activity
Albania,European Region of WHO,South West Europe,2012,3,2012-01-16,2012-01-22,,40,0,0,19,,0,19,0,0,1,1,20,,Sporadic
Albania,European Region of WHO,South West Europe,2012,4,2012-01-23,2012-01-29,,33,0,0,11,,0,11,0,0,1,1,12,,Sporadic
Albania,European Region of WHO,South West Europe,2012,5,2012-01-30,2012-02-05,,50,0,0,26,,0,26,0,0,1,1,27,,Sporadic
Albania,European Region of WHO,South West Europe,2012,6,2012-02-06,2012-02-12,,22,0,0,13,,0,13,0,0,0,0,13,,No Report
Albania,European Region of WHO,South West Europe,2012,7,2012-02-13,2012-02-19,,23,0,0,8,,0,8,0,0,4,4,12,,Sporadic
Albania,European Region of WHO,South West Europe,2012,8,2012-02-20,2012-02-26,,17,0,0,0,,0,0,0,0,2,2,2,,Sporadic
Albania,European Region of WHO,South West Europe,2012,9,2012-02-27,2012-03-04,,18,0,0,1,,0,1,0,0,6,6,7,,No Activity
Albania,European Region of WHO,South West Europe,2012,10,2012-03-05,2012-03-11,,5,0,0,1,,0,1,0,0,3,3,4,,No Activity
Albania,European Region of WHO,South West Europe,2012,11,2012-03-12,2012-03-18,,23,0,0,8,,0,8,0,0,4,4,12,,No Activity
Albania,European Region of WHO,South West Europe,2012,12,2012-03-19,2012-03-25,,9,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2012,13,2012-03-26,2012-04-01,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2012,14,2012-04-02,2012-04-08,,4,0,0,0,,0,0,0,0,1,1,1,,No Activity
Albania,European Region of WHO,South West Europe,2012,15,2012-04-09,2012-04-15,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2012,40,2012-10-01,2012-10-07,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2012,41,2012-10-08,2012-10-14,,2,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2012,42,2012-10-15,2012-10-21,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2012,43,2012-10-22,2012-10-28,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2012,44,2012-10-29,2012-11-04,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2012,45,2012-11-05,2012-11-11,,2,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2012,46,2012-11-12,2012-11-18,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2012,47,2012-11-19,2012-11-25,,0,0,0,0,,0,0,0,0,0,0,0,,No Activity
Albania,European Region of WHO,South West Europe,2012,48,2012-11-26,2012-12-02,,1,0,0,0,,0,0,0,0,0,0,0,,No Activity
