Season year and week (40);;;State;;;;;;;;;;;;;;;;
Season year and week (40);enddate;Germany_sum;Baden-Wuerttemberg;Bavaria;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Lower Saxony;North Rhine-Westphalia;Rhineland-Palatinate;Saarland;Saxony;Saxony-Anhalt;Schleswig-Holstein;Thuringia;Unknown
2000/01 SW14 (w/e 01/07);2001-01-07;7;;;;;;1;3;1;;;;;2;;;;
2000/01 SW15 (w/e 01/14);2001-01-14;15;;;1;2;;;5;1;1;1;;;4;;;;
2000/01 SW16 (w/e 01/21);2001-01-21;55;1;4;;10;;;;6;2;9;2;;13;2;3;3;
2000/01 SW17 (w/e 01/28);2001-01-28;187;27;7;;14;;1;;22;13;21;3;;65;;10;4;
2000/01 SW18 (w/e 02/04);2001-02-04;460;63;32;59;40;;3;7;24;42;13;4;;138;17;2;16;
2000/01 SW19 (w/e 02/11);2001-02-11;536;86;40;28;34;;2;9;2;26;19;14;5;69;155;6;41;
2000/01 SW20 (w/e 02/18);2001-02-18;405;64;61;23;16;;1;10;7;31;12;34;2;74;45;10;15;
2000/01 SW21 (w/e 02/25);2001-02-25;244;46;56;7;13;;2;2;2;17;10;17;2;28;23;12;7;
2000/01 SW22 (w/e 03/04);2001-03-04;234;20;35;5;5;;;14;;2;6;45;;24;6;11;61;
2000/01 SW23 (w/e 03/11);2001-03-11;119;13;18;3;1;;;10;;5;6;35;;8;10;1;9;
2000/01 SW24 (w/e 03/18);2001-03-18;69;13;25;;1;;;;;;4;5;4;10;1;2;4;
2000/01 SW25 (w/e 03/25);2001-03-25;61;6;15;4;;;;4;;2;1;4;2;3;11;3;6;
2000/01 SW26 (w/e 04/01);2001-04-01;33;1;12;3;1;;;1;;;2;;;7;1;3;2;
2000/01 SW27 (w/e 04/08);2001-04-08;35;2;5;3;2;;1;2;;6;1;6;1;2;4;;;
2000/01 SW28 (w/e 04/15);2001-04-15;20;;5;;;;;;;;2;1;;3;7;2;;
2000/01 SW29 (w/e 04/22);2001-04-22;19;;2;6;1;;;;;;2;;1;5;1;1;;
2000/01 SW30 (w/e 04/29);2001-04-29;22;;6;13;;;;;;;;;;3;;;;
2000/01 SW31 (w/e 05/06);2001-05-06;10;;1;3;;;;;;;;2;;4;;;;
2000/01 SW32 (w/e 05/13);2001-05-13;7;;1;4;;;;;;;;;;2;;;;
2000/01 SW33 (w/e 05/20);2001-05-20;2;;1;;;;;;;;;;;1;;;;
2000/01 SW34 (w/e 05/27);2001-05-27;2;;;;;;;;;;;;;2;;;;
2000/01 SW35 (w/e 06/03);2001-06-03;2;;1;;;;;;;;;;;1;;;;
2000/01 SW36 (w/e 06/10);2001-06-10;7;;;;;;;;;1;;;;6;;;;
2000/01 SW37 (w/e 06/17);2001-06-17;4;;;;;;;;;;;;;4;;;;
2000/01 SW38 (w/e 06/24);2001-06-24;4;;;;;;;;;;;;;4;;;;
2000/01 SW39 (w/e 07/01);2001-07-01;2;;1;;;;;;;;;;;1;;;;
2000/01 SW40 (w/e 07/08);2001-07-08;3;;1;;;;;;;;;;;2;;;;
2000/01 SW41 (w/e 07/15);2001-07-15;3;;1;;;;;;;;;;;2;;;;
2000/01 SW42 (w/e 07/22);2001-07-22;2;;;;;;;;;;;;;2;;;;
2000/01 SW43 (w/e 07/29);2001-07-29;2;;;;;;;;;;;2;;;;;;
2000/01 SW44 (w/e 08/05);2001-08-05;7;;;;1;;;;;;;;;6;;;;
2000/01 SW45 (w/e 08/12);2001-08-12;3;;;;;;;;;1;;;;2;;;;
2000/01 SW46 (w/e 08/19);2001-08-19;4;;;;;;;;;;;;;4;;;;
2000/01 SW47 (w/e 08/26);2001-08-26;2;;;;;;;;;;;;;2;;;;
2000/01 SW48 (w/e 09/02);2001-09-02;3;;;;;;;1;;1;;;;1;;;;
2000/01 SW49 (w/e 09/09);2001-09-09;7;;1;;;;;;;;;;;6;;;;
2000/01 SW50 (w/e 09/16);2001-09-16;3;;;;;;;;;;;;;3;;;;
2000/01 SW51 (w/e 09/23);2001-09-23;3;;;;;;;;;;1;;;2;;;;
2001/02 SW01 (w/e 10/07);2001-10-07;5;;;;;;;;;;;;;3;;2;;
2001/02 SW02 (w/e 10/14);2001-10-14;6;;;;;;;;;;;;;4;;1;1;
2001/02 SW03 (w/e 10/21);2001-10-21;1;;;;;;;;;;;;;;;1;;
2001/02 SW04 (w/e 10/28);2001-10-28;2;;;;1;;;;;;;;;1;;;;
2001/02 SW05 (w/e 11/04);2001-11-04;7;;;;1;;;;;;;1;;3;;2;;
2001/02 SW06 (w/e 11/11);2001-11-11;8;;;;3;;;;;;;;;5;;;;
2001/02 SW07 (w/e 11/18);2001-11-18;1;;;;;;;;;;1;;;;;;;
2001/02 SW08 (w/e 11/25);2001-11-25;6;;1;;;;;;3;;;;;;;;2;
2001/02 SW09 (w/e 12/02);2001-12-02;1;;;;;;;;;;;;;1;;;;
2001/02 SW10 (w/e 12/09);2001-12-09;4;;1;;;;;;;;;;1;2;;;;
2001/02 SW11 (w/e 12/16);2001-12-16;6;;1;;3;;;;2;;;;;;;;;
2001/02 SW12 (w/e 12/23);2001-12-23;4;;1;;;;;;;;;;;3;;;;
2001/02 SW13 (w/e 12/30);2001-12-30;1;;;;1;;;;;;;;;;;;;
2001/02 SW14 (w/e 01/06);2002-01-06;7;;1;;1;;;;;;;1;;3;;1;;
2001/02 SW15 (w/e 01/13);2002-01-13;9;2;1;;;;;;;;3;;;2;;;1;
2001/02 SW16 (w/e 01/20);2002-01-20;15;6;1;1;;;1;;;;2;;;4;;;;
2001/02 SW17 (w/e 01/27);2002-01-27;61;27;2;3;1;;;1;;8;4;5;;9;;;1;
2001/02 SW18 (w/e 02/03);2002-02-03;65;20;3;2;3;;;2;1;4;10;7;;10;1;1;1;
2001/02 SW19 (w/e 02/10);2002-02-10;91;26;4;2;4;;;3;1;13;8;16;;3;10;;1;
2001/02 SW20 (w/e 02/17);2002-02-17;127;36;13;6;1;;2;6;1;13;9;12;;14;10;;4;
2001/02 SW21 (w/e 02/24);2002-02-24;170;33;29;13;1;;;6;1;22;18;25;1;10;5;1;5;
2001/02 SW22 (w/e 03/03);2002-03-03;252;54;38;8;1;;1;11;2;26;23;22;3;28;23;1;11;
2001/02 SW23 (w/e 03/10);2002-03-10;243;38;37;20;3;1;;17;6;25;16;20;1;35;11;1;12;
2001/02 SW24 (w/e 03/17);2002-03-17;365;72;59;30;6;3;;26;8;37;25;37;;34;5;10;13;
2001/02 SW25 (w/e 03/24);2002-03-24;413;50;75;27;12;1;1;23;16;31;42;33;5;52;20;11;14;
2001/02 SW26 (w/e 03/31);2002-03-31;294;29;43;17;7;;1;7;5;21;19;6;;104;23;2;10;
2001/02 SW27 (w/e 04/07);2002-04-07;174;16;20;5;6;;1;3;4;11;11;11;;34;38;7;7;
2001/02 SW28 (w/e 04/14);2002-04-14;147;7;12;10;1;;;;2;10;11;12;;57;13;7;5;
2001/02 SW29 (w/e 04/21);2002-04-21;93;8;9;1;;;;1;1;2;6;3;;34;17;3;8;
2001/02 SW30 (w/e 04/28);2002-04-28;69;4;12;2;;;;5;;2;2;4;;23;4;1;10;
2001/02 SW31 (w/e 05/05);2002-05-05;43;;6;3;;;;2;;2;2;1;;22;1;2;2;
2001/02 SW32 (w/e 05/12);2002-05-12;29;3;5;;;;;2;;1;;;;14;2;1;1;
2001/02 SW33 (w/e 05/19);2002-05-19;13;1;3;;;;;1;;1;1;;;2;;3;1;
2001/02 SW34 (w/e 05/26);2002-05-26;9;;4;1;;;;;;;;;;;1;2;1;
2001/02 SW35 (w/e 06/02);2002-06-02;7;;2;;;;1;;;;;;;2;;2;;
2001/02 SW36 (w/e 06/09);2002-06-09;3;;;;;;;;;;1;;;1;;1;;
2001/02 SW37 (w/e 06/16);2002-06-16;2;;;;;;;;;;;;;2;;;;
2001/02 SW38 (w/e 06/23);2002-06-23;3;;;;1;;;;;;;;;2;;;;
2001/02 SW39 (w/e 06/30);2002-06-30;1;;;;;;;1;;;;;;;;;;
2001/02 SW40 (w/e 07/07);2002-07-07;3;;;;2;;;;;;;1;;;;;;
2001/02 SW41 (w/e 07/14);2002-07-14;3;;;;1;;;;;;;;;2;;;;
